Uniprot,Means.2Moderate,Means.3Extreme,Means.4Recovery,Means.5ControlA
Q0DI31,-0.034010455,0.161426069,0.051616755,-0.029529817
Q94JF2,0.078183255,1.067153817,0.448232951,-0.050390258
Q7XSU8,0.015086226,0.161083049,0.06809131,0.013186647
Q9LWY6,0.032948298,0.130323191,0.043402233,0.024536848
Q6EUD7,0.029006381,0.093738041,0.050182565,0.014912902
Q9FRU0,-0.074369515,0.160816164,-0.077636156,-0.173874537
B7E9D7,-0.121895827,0.46135666,0.272100019,-0.1000322
Q336R9,5.67E-05,0.038200033,0.00613689,-0.060930386
Q10QV0,0.069046091,0.112712907,0.051593849,0.077407722
Q4LB25,0.049177274,0.228862227,0.129386158,0.002442099
Q8H916,0.017082038,0.257624373,0.076968676,0.012104061
Q6YZ75,0.020162775,0.08840763,0.038507713,0.008420334
Q7XTB4,0.021560244,0.101018333,0.020729982,-0.019664782
Q0J8R9,0.104347933,0.353136675,0.161104488,0.0517704
Q6Z8P2,-0.000848977,0.112957169,-0.008368192,-0.015753357
Q6YSB2,-0.012865924,0.094878897,-0.032473663,-0.011968093
Q6ZIF9,0.003503033,0.097078191,0.022460261,0.009855431
Q6H4V1,0.015231606,0.289972819,0.00588604,-0.011753532
Q0DCI1,0.049633386,0.134123985,0.023516241,-0.020559988
Q0J0C4,-0.062490362,0.02344724,-0.028411581,-0.074519853
Q5Z5T3,-0.115665647,0.024758074,-0.119668373,-0.089534244
Q0JNR2,-0.002623142,0.133119917,-0.013291049,-0.009999095
Q5D214,-0.027307451,0.074977933,0.006602397,-0.027651485
Q5VQG4,0.017842056,0.171380779,0.026519227,0.022751251
Q84NJ4,-0.061466574,0.018344774,-0.077016363,-0.022741065
Q6YZX6,0.017408446,0.100885175,0.032672508,0.011224818
Q6K669,0.012885424,0.100540259,0.025474234,-0.005690827
Q2QZU4,-0.031818571,0.128747764,0.012746075,-0.026885339
Q0INM9,0.042323591,0.413550539,0.025757593,-0.020712254
Q2QPR0,-0.137348105,-0.067966812,-0.132409596,-0.068580138
A3AYP1,-0.077302368,0.178563595,-0.04024055,-0.067522449
Q10NA1,0.086567769,0.749956773,0.311204536,0.05636339
Q6AUV1,0.059758017,0.238884003,0.052404987,0.020816526
Q10FJ2,-0.068545357,0.030834216,-0.097515687,-0.012345317
Q2QME8,-0.005313395,0.101478843,0.004675689,0.048871817
Q5SNH5,0.034583627,0.080991048,-0.044050146,0.00128474
Q9LE07,0.006039347,0.182687115,-0.034028052,-0.014496497
Q655Q2,0.018078806,0.09616242,0.008413479,0.020301688
Q942L2,-0.006318212,0.087687288,0.039534179,0.010091467
Q9AS33,0.040356241,0.118136734,0.03484683,0.008015921
Q5QMT0,0.045756992,0.26123348,0.109042825,-0.03577229
Q94E74,0.026491813,0.354268238,0.137727236,0.014711595
Q5QM39,-0.069070611,-0.018088519,-0.082513951,-0.030551866
Q8S9U5,0.040926,0.281312079,0.085039692,-2.91E-05
P40392,-0.012435351,0.085566746,-0.006844166,0.02954001
Q0JKR6,0.036292167,0.74150132,0.301175778,0.007941734
Q5N8I8,0.037973661,0.109771057,-0.007628439,0.022817094
A0A0P0VAH1,0.11739334,0.553974125,0.088220882,-0.043345285
Q5N7Y1,0.021424322,0.44856498,0.057844409,0.019881685
Q9LDN2,-0.019557905,0.148234544,0.028399488,0.012930595
Q5JKZ9,0.013133143,0.118211108,0.068467217,0.001123356
Q6ZFJ9,0.05033278,0.161279624,0.095431134,0.034706659
Q6ZH98,-0.009740024,0.108815411,0.003696774,-0.018424373
Q6H7M1,-0.027946257,0.196703333,0.046090802,-0.021241349
Q6Z6L4,-0.008942737,0.084609837,0.014845017,0.007605044
Q6K7A3,-0.156694857,0.071033798,0.050745792,-0.14637263
Q6H795,0.013506685,0.22663606,0.030303217,-0.008882786
Q6K623,-0.057392313,0.176510109,-0.0626817,-0.0550852
Q6ESJ0,-0.026657706,0.084649741,0.003049192,-0.008019745
Q8S3R7,-0.007341698,0.236362319,0.040339235,0.003093047
Q6Z744,0.007672112,0.178481378,0.083188996,0.021255886
Q6Z6A7,-0.01713434,0.220928312,0.103624592,-0.029051834
E5D3K1,-0.305341852,0.136958975,-0.439293762,0.00437718
Q6K689,-0.018384304,0.094719474,0.022955103,-0.023050101
P48642,-0.001374616,0.136700712,0.032890597,-0.001162409
Q84P96,-0.029129687,0.1305919,-0.032046003,-0.036683246
Q6KAA6,0.143894093,0.534290812,0.310060863,0.060440794
Q0DW19,-0.000266583,0.114220847,0.016614558,-0.010394736
Q10SR3,-0.035495473,0.148018899,-0.002432259,0.011701098
Q10S64,-0.017870732,0.523823836,0.082293644,0.005731954
Q8H8C7,-0.077954464,0.051619233,0.019196875,-0.084841261
Q10PD0,0.035081097,0.242681116,0.058321964,-0.007071697
Q10NP6,-0.037275003,0.004191532,-0.087338915,-0.029904225
Q10NC7,-0.027477625,0.026349624,-0.053369342,-0.034844553
Q10N17,-0.012502935,0.037824902,-0.029400174,-0.043315159
Q10MK9,-0.068413857,0.218488468,-0.024321798,-0.003496061
Q10MK4,0.096652354,0.745114036,0.486886018,0.032952791
Q10M57,-0.033976274,0.063042887,-0.032974109,-0.011247152
Q10M12,-0.081925626,0.108960176,-0.017499221,-0.087622362
Q10LW8,0.003889286,0.083173777,0.018473472,-0.012560777
K4FDV3,0.054312156,0.35935203,0.184181206,0.020855671
Q10L56,0.02156526,0.130002882,0.091474134,0.016264199
Q60DC5,-0.035617717,0.059236205,-0.004803112,0.027874682
Q851K0,0.056531349,0.374179535,0.24739948,-0.017303944
Q53RK6,-0.004356579,0.09569863,0.072815336,0.028699704
Q9AUQ4,-0.011398125,0.039178723,-0.004465051,-0.043116061
Q851F9,0.070833357,0.489092241,0.10241774,0.058773052
P42862,-0.047341261,0.035511808,0.018678339,-0.041850947
Q84TX6,0.03246325,0.368433157,0.098709883,-0.00669125
Q84TB3,0.047257113,0.097057105,0.030880727,-0.006706982
Q7Y152,-0.02087649,0.111801856,-0.017783819,-0.009792717
Q7XTJ3,-0.031789826,0.16777254,0.010807231,-0.022083973
O04138,0.021832373,0.425519135,0.458490773,0.091825102
P55142,0.025714413,0.17051498,0.042200762,0.032398915
Q7FAX1,0.021354528,0.741175887,0.327339902,-0.011928992
Q0JB49,-0.030796577,0.09635585,-0.073097218,-0.014843165
Q7X8B5,-0.050952748,0.134076305,-0.068250702,-0.001007463
Q7XPL4,0.15022044,1.130265302,0.706973327,0.069096593
Q0J9V5,0.106809297,0.248109094,0.106672781,0.07506822
Q7XPN4,0.06464942,0.216155187,0.121909263,-0.023484694
