,...1.Control.1.csv,...1.Control.2.csv,...1.Control.3.csv,...2.Moderate.1.csv,...2.Moderate.2.csv,...2.Moderate.3.csv,...3.Extreme.3.csv,...3.Extreme.1.csv,...3.Extreme.2.csv,...4.3.Days.recovery.1.csv,...4.3.Days.recovery.2.csv,...4.3.days.recovery.3.csv,...5.6.Days.recovery.1.csv,...5.6.Days.recovery.2.csv,...5.6.days.recovery.3.csv
gi|11466770|,0.000533641,0.000648292,0.000701604,0.000887072,0.000595061,0.000816515,0.000654907,0.000651212,0.000675567,0.000600485,0.000584469,0.000478359,0.000486994,0.000608377,0.000553562
gi|11466771|,0.000893941,0.000856413,0.000790358,0.000755732,0.000424996,0.000692058,0.000710936,0.000817382,0.000642451,0.000638554,0.000751757,0.000601062,0.000601765,0.000602656,0.000789448
gi|11466779|,0.000426198,0.000501782,0.000598433,0.000781217,0.00068336,0.000584312,0.000627186,0.000664704,0.000787509,0.000670996,0.000499794,0.000786832,0.000523202,0.000551049,0.000523534
gi|11466780|,0.000710035,0.000485759,0.000398351,0.000772113,0.000610929,0.000662191,0.000625403,0.000521735,0.00058097,0.000630939,0.000721439,0.000831342,0.000704375,0.000544505,0.000614398
gi|11466784|,0.000677073,0.000724301,0.000766914,0.000418545,0.000665553,0.000676138,0.000828871,0.000553884,0.000595709,0.000537073,0.000539888,0.000855298,0.000434877,0.00057805,0.000659276
gi|11466786|,0.000548691,0.000467858,0.000560238,0.00060079,0.000529787,0.000674635,0.000748437,0.000500583,0.00064395,0.00068676,0.000625934,0.000648312,0.000604406,0.000693171,0.000615306
gi|11466787|,0.000798749,0.000417117,0.000723365,0.000659882,0.000857737,0.000606454,0.000525091,0.000957744,0.000509512,0.000529371,0.000509634,0.000622687,0.000593971,0.000307853,0.000456865
gi|11466789|,0.000775877,0.000858108,0.000407941,0.000528775,0.000700241,0.000350894,0.000717525,0.000669382,0.0008476,0.000796426,0.000573525,0.000752532,0.00083754,0.000580061,0.00073335
gi|11466790|,0.000505576,0.000821328,0.00052553,0.000921585,0.000607435,0.000805454,0.000699291,0.000686862,0.00060313,0.000775447,0.000809303,0.000785319,0.000406993,0.000745389,0.000540714
gi|11466793|,0.000515776,0.000788697,0.000767974,0.000715555,0.000557843,0.000653806,0.000767468,0.000679916,0.000827094,0.000761201,0.0005087,0.000870181,0.000552097,0.000585135,0.00076408
gi|11466794|,0.000489052,0.000813882,0.000700757,0.000539003,0.000560129,0.000568174,0.000701083,0.000504517,0.000600381,0.000897121,0.000499387,0.000657975,0.000485806,0.00064623,0.000596361
gi|11466795|,0.000686497,0.000638745,0.000692069,0.000853573,0.000468988,0.000828545,0.000715838,0.000623299,0.000520233,0.000547139,0.000850696,0.00068829,0.000685832,0.000635225,0.000553468
gi|11466803|,0.000784614,0.000750416,0.000568061,0.000578049,0.000645348,0.000558206,0.000825672,0.00056392,0.000655673,0.000446824,0.000498837,0.000621258,0.00055917,0.000574724,0.00048885
gi|11466807|,0.000640277,0.000732891,0.000896353,0.00060388,0.000406086,0.000803309,0.00069234,0.000834971,0.000483104,0.000480084,0.000617504,0.000867039,0.000493161,0.000541668,0.000620154
gi|11466815|,0.00059673,0.000644002,0.00080844,0.000568071,0.0006295,0.000734683,0.000747333,0.000592055,0.000762284,0.000659849,0.000627889,0.000596094,0.000865713,0.000513892,0.000715531
gi|11466818|,0.000851353,0.000592302,0.000511938,0.000796269,0.000396944,0.000934845,0.000809833,0.000748957,0.000300411,0.00083302,0.000743215,0.000685242,0.000866274,0.000828923,0.00058534
gi|11466819|,0.000447489,0.000477638,0.000551144,0.000786738,0.000734154,0.000420083,0.000646817,0.000645857,0.000561195,0.000884146,0.000823865,0.000641884,0.000673462,0.000747354,0.000836077
gi|11466820|,0.000648781,0.000692245,0.000513069,0.000445086,0.000762131,0.00060145,0.000670326,0.00080536,0.000850474,0.000705561,0.000563084,0.000794132,0.000393994,0.000472029,0.000933873
gi|11466822|,0.000668871,0.000772212,0.00076884,0.000663571,0.000614697,0.000613537,0.000371814,0.000691369,0.000791063,0.00066359,0.000569407,0.000976121,0.000709157,0.000705138,0.000708692
gi|11466825|,0.000719073,0.000683062,0.000502612,0.000672971,0.00096681,0.00037469,0.000496745,0.000496037,0.000725448,0.000703396,0.000646889,0.000528805,0.000772926,0.000888893,0.000909195
gi|11466828|,0.000626584,0.000500134,0.000836371,0.000609667,0.000518961,0.000512262,0.000426276,0.000899816,0.000417102,0.000542563,0.000715516,0.000487926,0.000893531,0.000633118,0.000373881
gi|11466829|,0.000761691,0.000690478,0.00060858,0.000578475,0.000414067,0.000694679,0.000730618,0.00055726,0.000853924,0.000476941,0.0006229,0.000628813,0.000546557,0.000712979,0.000604184
gi|11466844|,0.000676462,0.000664149,0.00069271,0.000579623,0.000677937,0.000877305,0.000722321,0.000487718,0.000466634,0.000547652,0.000941801,0.000910907,0.000640023,0.000739312,0.000790211
gi|11466848|,0.000561939,0.000677671,0.000793294,0.000653943,0.000405123,0.000648354,0.000473897,0.000729289,0.000623734,0.000640284,0.000538698,0.000631371,0.000889496,0.000687267,0.000406616
gi|11466851|,0.000417362,0.000930187,0.000574288,0.00083006,0.000656992,0.000737859,0.000688584,0.000661063,0.000649573,0.000640866,0.000510882,0.000759115,0.000531621,0.00071352,0.000816187
gi|11466852|,0.000686059,0.000582983,0.000833811,0.000473132,0.000609991,0.00088626,0.000566258,0.000409267,0.000976918,0.000678465,0.000651998,0.000433315,0.000652989,0.000634716,0.000449815
gi|11466853|,0.000845545,0.000613739,0.000790283,0.000782076,0.000610829,0.000561041,0.000603836,0.000821202,0.000757317,0.000638166,0.000450742,0.000518444,0.00050932,0.000682912,0.000585114
