X,Description,...1.Control.1.csv,...1.Control.2.csv,...1.Control.3.csv,...2.Moderate.1.csv,...2.Moderate.2.csv,...2.Moderate.3.csv,...3.Extreme.3.csv,...3.Extreme.1.csv,...3.Extreme.2.csv,...4.3.Days.recovery.1.csv,...4.3.Days.recovery.2.csv,...4.3.days.recovery.3.csv,...5.6.Days.recovery.1.csv,...5.6.Days.recovery.2.csv,...5.6.days.recovery.3.csv
gi|11466770|,NA,0.005821391,0.006115986,0.006355845,0.004733863,0.005049564,0.00545467,0.004640992,0.006857828,0.008457876,0.004996139,0.004542359,0.004554529,0.005721739,0.004079787,0.004839976
gi|11466771|,NA,0.007710956,0.008399355,0.008016469,0.006447539,0.006429671,0.007117757,0.008599948,0.008029707,0.010728782,0.005968973,0.00614756,0.005603478,0.007434262,0.006433842,0.006617737
gi|11466779|,NA NA,3.00E-06,2.76E-05,8.14E-06,2.68E-06,2.75E-06,2.80E-06,1.83E-05,1.58E-05,4.07E-05,8.13E-06,2.78E-06,1.30E-05,1.34E-05,7.84E-06,2.59E-06
gi|11466780|,NA,0.00044417,0.00025677,0.000331461,0.000155434,0.000124008,0.000126094,0.000587336,0.000912068,0.000865143,0.000156999,0.000304502,0.000352457,0.000326577,0.000218568,0.000283228
gi|11466784|,NA,0.016477155,0.014281877,0.013749501,0.019046307,0.017214215,0.014599681,0.012675039,0.013415275,0.013746832,0.013545381,0.012394948,0.011842432,0.018221123,0.018982544,0.019182631
gi|11466786|,NA,0.003646759,0.004259875,0.003488434,0.003340427,0.003078616,0.004922598,0.002575733,0.002580324,0.00369396,0.004538692,0.005105859,0.004278914,0.003313276,0.002833737,0.003211536
gi|11466787|,NA,0.001758922,0.002298343,0.001984748,0.002054421,0.002704524,0.003217129,0.001698126,0.001675227,0.002184656,0.002877997,0.002746128,0.002312033,0.002278634,0.002141676,0.002100661
gi|11466789|,NA,0.000155979,0.000433015,0.000905816,0.000338767,0.000224849,0.000145494,0.00073191,0.000397568,0.000626803,0.000543457,0.000516689,0.000522875,0.000218159,0.000484987,0.000365249
gi|11466790|,NA,2.77E-05,2.84E-05,0.000476035,0.000719298,0.000686943,0.000543279,0.000101222,2.91E-05,0.000144476,0.000175371,0.000334418,0.000409771,0.001110838,0.000603654,0.000837455
gi|11466793|,NA,3.43E-05,3.51E-05,0.002386109,0.002975751,0.003115348,0.002271834,0.001126757,0.001260094,0.003037796,0.00182821,0.001495405,0.001699344,0.004488177,0.004091506,0.002456325
gi|11466794|,NA,0.023318931,0.019899706,0.015709529,0.01954156,0.020682739,0.018058532,0.016198714,0.018271764,0.017091608,0.020837228,0.020177719,0.019141748,0.020737661,0.020990899,0.019884289
gi|11466795|,NA,0.06668806,0.064752603,0.055657575,0.073186648,0.076213496,0.073977139,0.045832195,0.045634498,0.045114795,0.066323067,0.065884125,0.062008897,0.078692051,0.07943233,0.080825124
gi|11466803|,NA,0.005965365,0.005920449,0.007118586,0.010234961,0.010579702,0.006883294,0.005250182,0.003509143,0.003821021,0.006266647,0.005341683,0.00436517,0.010133802,0.009553429,0.008043626
