"","...d2br1listofids.csv","...d2br2listofids.csv","...d2br3listofids.csv","...d25br1listofids.csv","...d25br2listofids.csv","...d25br3listofids.csv","...d37br1listofids.csv","...d37br2listofids.csv","...d37br3listofids.csv"
"contig00001_12",0.000377896204316681,0.000208344035471405,0.000317909294832642,2.48739230347496e-05,0.000362981325566118,0.000344525629832757,0.000379510500518534,0.000215149613879898,0.000325500058038921
"contig00001_7",4.66864774563732e-05,0.000105164132190328,0.000120682922391014,2.39694167425769e-05,7.77293343636535e-06,5.16440439062436e-05,8.12689152625547e-06,7.67874042803676e-06,8.04265877671926e-06
"contig00003_1",0.000679700186497198,0.000361888337243188,0.000621708177113888,6.9793301691621e-05,0.000475292018064811,0.000451125912945717,7.09907877440551e-05,0.000156510797547926,2.34183299675061e-05
"contig00003_17",3.12294680282496e-05,3.19755807335457e-05,3.10488807606818e-05,8.0167981672808e-05,0.000389959667331167,0.000518185170275485,0.000135905787347853,0.000128411368644534,0.000349692629920192
"contig00003_19",0.000274362997654577,2.16090682582866e-05,6.29484157887796e-05,0.000126414047204002,0.000158120632232912,0.000116729688281236,0.000128583009764727,5.20681713955917e-05,5.45358369106306e-05
"contig00003_20",0.000522721810091893,0.000422534459693283,0.000957340490121023,0.00251892888446545,0.00190089863233970,0.00271724083052621,0.00174800729345977,0.00187786339574935,0.00177728397074823
"contig00003_23",0.000468442020423745,0.00105519416420701,0.000962515303581137,2.67226605576026e-05,7.79919334662334e-05,7.40264528964979e-05,0.000190268102286995,7.70468211867202e-05,2.6899433070784e-05
"contig00003_24",0.0360071624526457,0.0275281760880704,0.0309965012164808,0.0213273766557393,0.0252390447536475,0.0287411139611835,0.0321291375088855,0.0290668840417635,0.0309513296363641
"contig00004_1",0.0111706678361096,0.0115059696918117,0.00906866731268377,0.00925363880340231,0.00766739011127157,0.00553515707071549,0.00731860851963813,0.00695166547594109,0.00595728456546895
"contig00005_10",0.00233090288093608,0.00287614835667083,0.00192128332844978,0.000528463649302935,0.00111116093714249,0.000676874060680047,0.000468172005381053,0.000409587986193771,0.000531959478141194
"contig00005_11",0.00265516923916778,0.00177884010832576,0.00159692541330826,0.0004768383969002,0.00057304711397885,0.000388507625130556,0.000313836342981993,0.000404359203391297,0.000197644061427888
"contig00005_12",0.00159729543826842,0.00212261428575331,0.00138532800335160,0.000319885966086596,0.000311203107066245,0.000241674596220920,0.000325374443826919,0.000419225350574801,0.000439093686890739
"contig00005_15",4.98056171140188e-05,0.000173384830012071,0.000307009191659500,8.52360724682153e-06,8.2922457995708e-06,2.36118858376761e-05,2.60095558545030e-05,2.45752791716263e-05,8.57999158292248e-06
"contig00005_16",0.00596875792910785,0.00448166351420372,0.00538646675766107,0.00128339559181281,0.000586058590549798,0.00113670641577934,0.00082587516867808,0.00118308540435944,0.00123915534066473
"contig00005_17",7.00297161845598e-05,7.17028174024965e-05,0.000348123814589463,5.99235418564423e-05,0.000174891002318220,0.000497996137667349,0.00030475843223458,0.00040313387247193,0.00054287946742855
"contig00005_18",0.00288553383041131,0.00373884635715338,0.00271651975539313,0.000677367771482215,0.000403891928005614,0.000504415977379452,0.000422284059692998,0.000440997274858796,0.000769829079042327
"contig00005_19",0.0024344681488892,0.00234813043249397,0.00263085936216464,0.000332095354105169,0.000558049152435237,0.000641185866818521,0.000460627248720968,0.000551286669661723,0.000577413784694997
"contig00005_2",0.000278173594844224,0.000328637913094775,0.000319113496707008,0.000384509393578838,0.000409698366541757,0.000388867354413085,0.000316610149043703,0.000263956702213764,0.000423915139689577
"contig00005_20",0.00650040541995502,0.00559281975739472,0.00665940379438196,0.00217839699219302,0.000967044365759571,0.00158187008435511,0.000882006756820079,0.000995977802577709,0.00117091649837530
"contig00005_21",0.00152980408172186,0.00223288632784394,0.0019740091232918,0.00136473756594179,0.00186960944731731,0.00244322048761681,0.00161479045361477,0.00157927897324517,0.00187841393190066
"contig00005_22",0.000355535482167765,0.000283134202050883,3.92755072870163e-05,0.000101409070833979,0.000230198413307743,3.12134331301473e-05,0.000103149007833242,0.000162434893670008,0.000306239699575079
"contig00005_23",0.00205677276434052,0.00243717876351085,0.00181511756926946,0.000652567370816656,0.000250094133315055,0.000310417592479314,0.000140798395692376,0.000133034177915737,0.000179150224251421
"contig00005_24",0.00254855808245491,0.00216716739700629,0.00287738973479365,0.00158937394194938,0.00154623259993492,0.00153587593860024,0.00244376387717074,0.00287737474263676,0.00293932870526735
"contig00005_25",0.00231098063409047,0.0022955603481844,0.00277771628775413,2.95145803173522e-05,0.000143567240708987,0.000463309839521365,0.000210146859242352,0.000198558474501100,0.000445647324008511
"contig00005_26",0.00121158208000860,0.00169998330191162,0.00200762665889457,0.00095994023362262,0.000485619676339913,0.000390016392606792,0.000507733465742271,0.000774956376208176,0.000425167738245013
"contig00005_28",0.000977722575961354,0.00136511133131676,0.00103098206628418,0.000329579480210433,0.000665931124211685,0.00053843172149504,0.000747830306791008,0.000657861319363534,0.000893199123760648
"contig00005_29",0.00174676128195467,0.00292806488456348,0.00189034724203161,0.000542318074459976,0.000270232919969959,0.000232065089793704,0.000201813276195474,0.000190684440395227,0.000146462465014168
"contig00005_30",0.000979229082241726,0.000842204278981865,0.00112933725614277,0.000368682130404891,0.000423888361550941,0.000897518462801607,0.000102274863699062,0.000225481657484300,0.000236167903909595
"contig00005_31",0.00141862177538227,0.0040764116586647,0.0035032974767201,0.000117473874134412,0.000114285209435669,0.000397739489490094,0.000278808704341339,0.000338700877296077,0.000197084955172081
"contig00005_32",0.00640318222203141,0.00850571693745362,0.00569442662296571,0.00145847132106411,0.00129105583771125,0.000934225312523245,0.00116273948032622,0.00152796730211715,0.00123004583649924
"contig00005_33",0.00177767741083883,0.00190104392805593,0.00153174478419364,0.000439439306947243,0.00115099206653871,0.00146703135711692,0.000584511044388374,0.000877148425818045,0.000986772365297478
"contig00005_34",0.00341810158902684,0.00235518742556479,0.00352657520081791,0.000423088076921300,0.000375812293353571,0.000220816892050949,0.000280661253871846,0.000229826486764728,0.000314785923749268
