Q84T92	osa01100 osa01110 osa00941
Q5VPR6	
Q5VME5	
B9F0T2	
Q8H3X4	
Q6ZI95	
Q6ZDW8	
Q75KD7	osa01100 osa01110 osa00592
Q2QX08	
Q8H8D6	osa01100 osa00480
A3AMQ8	
B9F1V9	
Q0DRB3	
Q53NP8	
Q7XHN4	
Q8H8D8	osa01100 osa00480
Q84QW4	
Q0DZZ3	
Q2R3A1	osa01100 osa01110 osa00941 osa04712
Q9FTN6	
B9FTR2	
Q7XV18	osa01100 osa01110 osa00250 osa00410 osa00650 osa00430
Q6H5W0	
Q2QYE1	
Q0JF58	
Q337Y2	osa01100 osa01110 osa00902
Q2QYH1	
A3A2W2	
Q945W2	osa01100 osa00480
Q9FTN5	
Q9AXB0	osa01100 osa01110 osa00860
Q0J9B4	
Q2QYK6	
Q7XCK0	osa01100 osa00480
B9F8C9	
Q7G754	
Q10S49	osa01100 osa00480
Q6K4S7	
A3BKR0	
A3BJV7	
Q2R0I1	
Q7G566	
Q60EL7	
Q8W315	
A0A0P0Y3H3	
Q0J8G4	osa01100 osa00500 osa00520 osa00051
Q9LWT7	
Q94LR9	osa01100 osa01110 osa00592 osa04146 osa00280 osa00071 osa01212 osa01040
Q2R1P5	
Q0ING3	
B9GAQ9	
Q7F1H3	
B9FHU8	
Q0IWK4	
Q7X806	
Q2QW32	
B9FUI4	
Q2QNN5	osa01100 osa01110 osa00592 osa00591
Q10N42	
Q9FTR9	
B9FVY5	
B9G7X4	
A3BVP2	
Q7XUK3	
Q5ZCB1	
Q9LGB2	
Q2QPR0	osa01100 osa01110 osa00940 osa00360
Q5SMV5	
