PathwayID,PathwayName
1100,Metabolic pathways
1110,Biosynthesis of secondary metabolites
1120,Microbial metabolism in diverse environments
1130,Biosynthesis of antibiotics
1200,Carbon metabolism
1210,2-Oxocarboxylic acid metabolism
1212,Fatty acid metabolism
1230,Biosynthesis of amino acids
1220,Degradation of aromatic compounds
10,Glycolysis / Gluconeogenesis
20,Citrate cycle (TCA cycle)
30,Pentose phosphate pathway
40,Pentose and glucuronate interconversions
51,Fructose and mannose metabolism
52,Galactose metabolism
53,Ascorbate and aldarate metabolism
500,Starch and sucrose metabolism
520,Amino sugar and nucleotide sugar metabolism
620,Pyruvate metabolism
630,Glyoxylate and dicarboxylate metabolism
640,Propanoate metabolism
650,Butanoate metabolism
660,C5-Branched dibasic acid metabolism
562,Inositol phosphate metabolism
190,Oxidative phosphorylation
195,Photosynthesis
196,Photosynthesis - antenna proteins
710,Carbon fixation in photosynthetic organisms
720,Carbon fixation pathways in prokaryotes
680,Methane metabolism
910,Nitrogen metabolism
920,Sulfur metabolism
61,Fatty acid biosynthesis
62,Fatty acid elongation
71,Fatty acid degradation
72,Synthesis and degradation of ketone bodies
73,"Cutin, suberine and wax biosynthesis"
100,Steroid biosynthesis
120,Primary bile acid biosynthesis
121,Secondary bile acid biosynthesis
140,Steroid hormone biosynthesis
561,Glycerolipid metabolism
564,Glycerophospholipid metabolism
565,Ether lipid metabolism
600,Sphingolipid metabolism
590,Arachidonic acid metabolism
591,Linoleic acid metabolism
592,alpha-Linolenic acid metabolism
1040,Biosynthesis of unsaturated fatty acids
230,Purine metabolism
240,Pyrimidine metabolism
250,"Alanine, aspartate and glutamate metabolism"
260,"Glycine, serine and threonine metabolism"
270,Cysteine and methionine metabolism
280,"Valine, leucine and isoleucine degradation"
290,"Valine, leucine and isoleucine biosynthesis"
300,Lysine biosynthesis
310,Lysine degradation
220,Arginine biosynthesis
330,Arginine and proline metabolism
340,Histidine metabolism
350,Tyrosine metabolism
360,Phenylalanine metabolism
380,Tryptophan metabolism
400,"Phenylalanine, tyrosine and tryptophan biosynthesis"
410,beta-Alanine metabolism
430,Taurine and hypotaurine metabolism
440,Phosphonate and phosphinate metabolism
450,Selenocompound metabolism
460,Cyanoamino acid metabolism
471,D-Glutamine and D-glutamate metabolism
472,D-Arginine and D-ornithine metabolism
473,D-Alanine metabolism
480,Glutathione metabolism
510,N-Glycan biosynthesis
513,Various types of N-glycan biosynthesis
512,Mucin type O-glycan biosynthesis
515,Mannose type O-glycan biosynthesis
514,Other types of O-glycan biosynthesis
532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate
534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin
533,Glycosaminoglycan biosynthesis - keratan sulfate
531,Glycosaminoglycan degradation
563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
601,Glycosphingolipid biosynthesis - lacto and neolacto series
603,Glycosphingolipid biosynthesis - globo and isoglobo series
604,Glycosphingolipid biosynthesis - ganglio series
540,Lipopolysaccharide biosynthesis
550,Peptidoglycan biosynthesis
511,Other glycan degradation
571,Lipoarabinomannan (LAM) biosynthesis
572,Arabinogalactan biosynthesis - Mycobacterium
730,Thiamine metabolism
740,Riboflavin metabolism
750,Vitamin B6 metabolism
760,Nicotinate and nicotinamide metabolism
770,Pantothenate and CoA biosynthesis
780,Biotin metabolism
785,Lipoic acid metabolism
790,Folate biosynthesis
670,One carbon pool by folate
830,Retinol metabolism
860,Porphyrin and chlorophyll metabolism
130,Ubiquinone and other terpenoid-quinone biosynthesis
900,Terpenoid backbone biosynthesis
902,Monoterpenoid biosynthesis
909,Sesquiterpenoid and triterpenoid biosynthesis
904,Diterpenoid biosynthesis
906,Carotenoid biosynthesis
905,Brassinosteroid biosynthesis
981,Insect hormone biosynthesis
908,Zeatin biosynthesis
903,Limonene and pinene degradation
281,Geraniol degradation
1052,Type I polyketide structures
522,"Biosynthesis of 12-, 14- and 16-membered macrolides"
1051,Biosynthesis of ansamycins
1059,Biosynthesis of enediyne antibiotics
1056,Biosynthesis of type II polyketide backbone
1057,Biosynthesis of type II polyketide products
253,Tetracycline biosynthesis
523,Polyketide sugar unit biosynthesis
1054,Nonribosomal peptide structures
1053,Biosynthesis of siderophore group nonribosomal peptides
1055,Biosynthesis of vancomycin group antibiotics
940,Phenylpropanoid biosynthesis
945,"Stilbenoid, diarylheptanoid and gingerol biosynthesis"
941,Flavonoid biosynthesis
944,Flavone and flavonol biosynthesis
942,Anthocyanin biosynthesis
943,Isoflavonoid biosynthesis
901,Indole alkaloid biosynthesis
403,Indole diterpene alkaloid biosynthesis
950,Isoquinoline alkaloid biosynthesis
960,"Tropane, piperidine and pyridine alkaloid biosynthesis"
1058,Acridone alkaloid biosynthesis
232,Caffeine metabolism
965,Betalain biosynthesis
966,Glucosinolate biosynthesis
402,Benzoxazinoid biosynthesis
311,Penicillin and cephalosporin biosynthesis
332,Carbapenem biosynthesis
261,Monobactam biosynthesis
331,Clavulanic acid biosynthesis
521,Streptomycin biosynthesis
