Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000072786	GO:0006468	ENSP00000176763
ENSG00000072786	GO:0000166	ENSP00000176763
ENSG00000072786	GO:0004674	ENSP00000176763
ENSG00000072786	GO:0005524	ENSP00000176763
ENSG00000072786	GO:0016740	ENSP00000176763
ENSG00000072786	GO:0004672	ENSP00000176763
ENSG00000075415		ENSP00000188376
ENSG00000072110	GO:0002576	ENSP00000193403
ENSG00000072110	GO:0007596	ENSP00000193403
ENSG00000072110	GO:0030168	ENSP00000193403
ENSG00000072110	GO:0034329	ENSP00000193403
ENSG00000072110	GO:0042981	ENSP00000193403
ENSG00000072110	GO:0048041	ENSP00000193403
ENSG00000072110	GO:0051271	ENSP00000193403
ENSG00000072110	GO:0005576	ENSP00000193403
ENSG00000072110	GO:0005730	ENSP00000193403
ENSG00000072110	GO:0005737	ENSP00000193403
ENSG00000072110	GO:0005829	ENSP00000193403
ENSG00000072110	GO:0005925	ENSP00000193403
ENSG00000072110	GO:0015629	ENSP00000193403
ENSG00000072110	GO:0030018	ENSP00000193403
ENSG00000072110	GO:0031093	ENSP00000193403
ENSG00000072110	GO:0031143	ENSP00000193403
ENSG00000072110	GO:0003779	ENSP00000193403
ENSG00000072110	GO:0005178	ENSP00000193403
ENSG00000072110	GO:0005509	ENSP00000193403
ENSG00000072110	GO:0005515	ENSP00000193403
ENSG00000072110	GO:0017166	ENSP00000193403
ENSG00000083720	GO:0007420	ENSP00000196371
ENSG00000083720	GO:0007507	ENSP00000196371
ENSG00000083720	GO:0007584	ENSP00000196371
ENSG00000083720	GO:0008152	ENSP00000196371
ENSG00000083720	GO:0009725	ENSP00000196371
ENSG00000083720	GO:0014823	ENSP00000196371
ENSG00000083720	GO:0032024	ENSP00000196371
ENSG00000083720	GO:0042493	ENSP00000196371
ENSG00000083720	GO:0042594	ENSP00000196371
ENSG00000083720	GO:0044255	ENSP00000196371
ENSG00000083720	GO:0045471	ENSP00000196371
ENSG00000083720	GO:0046950	ENSP00000196371
ENSG00000083720	GO:0046952	ENSP00000196371
ENSG00000083720	GO:0060612	ENSP00000196371
ENSG00000083720	GO:0071229	ENSP00000196371
ENSG00000083720	GO:0071333	ENSP00000196371
ENSG00000083720	GO:0005739	ENSP00000196371
ENSG00000083720	GO:0005759	ENSP00000196371
ENSG00000083720	GO:0008260	ENSP00000196371
ENSG00000083720	GO:0016740	ENSP00000196371
ENSG00000083720	GO:0042803	ENSP00000196371
ENSG00000083720	GO:0008410	ENSP00000196371
ENSG00000083845	GO:0006412	ENSP00000196551
ENSG00000083845	GO:0006413	ENSP00000196551
ENSG00000083845	GO:0006414	ENSP00000196551
ENSG00000083845	GO:0006415	ENSP00000196551
ENSG00000083845	GO:0006450	ENSP00000196551
ENSG00000083845	GO:0010467	ENSP00000196551
ENSG00000083845	GO:0016032	ENSP00000196551
ENSG00000083845	GO:0019058	ENSP00000196551
ENSG00000083845	GO:0019083	ENSP00000196551
ENSG00000083845	GO:0031018	ENSP00000196551
ENSG00000083845	GO:0044267	ENSP00000196551
ENSG00000083845	GO:0005829	ENSP00000196551
ENSG00000083845	GO:0022627	ENSP00000196551
ENSG00000083845	GO:0030529	ENSP00000196551
ENSG00000083845	GO:0005622	ENSP00000196551
ENSG00000083845	GO:0005840	ENSP00000196551
ENSG00000083845	GO:0015935	ENSP00000196551
ENSG00000083845	GO:0003723	ENSP00000196551
ENSG00000083845	GO:0003729	ENSP00000196551
ENSG00000083845	GO:0003735	ENSP00000196551
ENSG00000085719	GO:0006629	ENSP00000198765
ENSG00000085719	GO:0016192	ENSP00000198765
ENSG00000085719	GO:0005737	ENSP00000198765
ENSG00000085719	GO:0005829	ENSP00000198765
ENSG00000085719	GO:0004674	ENSP00000198765
ENSG00000085719	GO:0005215	ENSP00000198765
ENSG00000085719	GO:0005544	ENSP00000198765
ENSG00000085719	GO:0005515	ENSP00000198765
ENSG00000085872	GO:0006874	ENSP00000198939
ENSG00000085872	GO:0007399	ENSP00000198939
ENSG00000085872	GO:0008285	ENSP00000198939
ENSG00000085872	GO:0006396	ENSP00000198939
ENSG00000085872	GO:0005737	ENSP00000198939
ENSG00000085872	GO:0005783	ENSP00000198939
ENSG00000085872	GO:0048471	ENSP00000198939
ENSG00000085872	GO:0005622	ENSP00000198939
ENSG00000085872	GO:0003674	ENSP00000198939
ENSG00000085872	GO:0003723	ENSP00000198939
ENSG00000085872	GO:0003676	ENSP00000198939
ENSG00000086589	GO:0000060	ENSP00000199814
ENSG00000086589	GO:0006397	ENSP00000199814
ENSG00000086589	GO:0008380	ENSP00000199814
ENSG00000086589	GO:0005634	ENSP00000199814
ENSG00000086589	GO:0005681	ENSP00000199814
ENSG00000086589	GO:0005737	ENSP00000199814
ENSG00000086589	GO:0000166	ENSP00000199814
ENSG00000086589	GO:0003723	ENSP00000199814
ENSG00000086589	GO:0005515	ENSP00000199814
ENSG00000086589	GO:0008270	ENSP00000199814
ENSG00000086589	GO:0046872	ENSP00000199814
ENSG00000086589	GO:0048306	ENSP00000199814
ENSG00000086589	GO:0003676	ENSP00000199814
ENSG00000086827	GO:0000070	ENSP00000200135
ENSG00000086827	GO:0000087	ENSP00000200135
ENSG00000086827	GO:0000132	ENSP00000200135
ENSG00000086827	GO:0000236	ENSP00000200135
ENSG00000086827	GO:0000278	ENSP00000200135
ENSG00000086827	GO:0006461	ENSP00000200135
ENSG00000086827	GO:0006888	ENSP00000200135
ENSG00000086827	GO:0007080	ENSP00000200135
ENSG00000086827	GO:0007093	ENSP00000200135
ENSG00000086827	GO:0007096	ENSP00000200135
ENSG00000086827	GO:0007126	ENSP00000200135
ENSG00000086827	GO:0015031	ENSP00000200135
ENSG00000086827	GO:0016192	ENSP00000200135
ENSG00000086827	GO:0034501	ENSP00000200135
ENSG00000086827	GO:0051301	ENSP00000200135
ENSG00000086827	GO:0007067	ENSP00000200135
ENSG00000086827	GO:0000776	ENSP00000200135
ENSG00000086827	GO:0000777	ENSP00000200135
