"Protein","x"
"A0A0N7KEB1","osa01100 osa01212 osa01040 osa00061"
"A3C4S4","osa01100 osa01110 osa00520 osa00053"
"B7E914","osa01100 osa00190"
"B7EKA4","osa01100 osa01110 osa01230 osa00270"
"B7ERZ5","osa01100 osa01110 osa00010"
"B9FK56","osa04141 osa04144 osa03040"
"B9FPW2","osa01100 osa01110 osa00500 osa00940 osa00460"
"B9FQQ6","osa03050"
"B9FSC3","osa01100 osa00500 osa00520 osa00051"
"B9G4B3","osa03018"
"C7IY39","osa01100 osa01110 osa00904"
"E5D3K1","osa04141"
"E9KIM9","osa01100 osa00195"
"E9KIN9","osa03010"
"I3QD45","osa01100 osa01110 osa01200 osa00010 osa01230 osa00710"
"K4FDV3","osa01100 osa00500"
"P12123","osa01100 osa00195"
"P12124","osa01100 osa00190"
"P14654","osa01100 osa00630 osa01230 osa00250 osa00220 osa00910"
"P14717","osa01100 osa01110 osa00940 osa00360"
"P16081","osa01100 osa00910"
"P25765","osa01100 osa00520 osa04016"
"P41344","osa01100 osa00195"
"P42862","osa01100 osa01110 osa01200 osa00010 osa00500 osa00520 osa00030"
"P48642","osa01100 osa00480"
"Q07661","osa01100 osa01110 osa00230 osa04016 osa00240"
"Q0D9C4","osa01100 osa01110 osa01200 osa00630 osa04146 osa04016 osa00380"
"Q0D9D0","osa01100 osa01110 osa00500"
"Q0DC43","osa01100 osa01200 osa00630"
"Q0DCI1","osa01100 osa01110 osa00010 osa00051 osa00030"
"Q0DFC9","osa00195"
"Q0DGD7","osa01100 osa00052 osa00600 osa00511 osa00531 osa00604"
"Q0DV32","osa01100 osa01110 osa00940 osa00130 osa00999"
"Q0IN14","osa04141 osa04626"
"Q0J4K2","osa01100 osa01110 osa00592 osa00591"
"Q0J7M1","osa01100 osa01110 osa00561 osa04070 osa00564"
"Q0J8G4","osa01100 osa00500 osa00520 osa00051"
"Q0JB49","osa01100 osa00480 osa00590"
"Q10A46","osa01100 osa01110 osa00010 osa00071 osa00350"
"Q10G56","osa01100 osa01110 osa00330"
"Q10L56","osa01100 osa00480 osa00590"
"Q10LH0","osa01100 osa01110 osa00860"
"Q10LW8","osa01100 osa00620"
"Q10MK9","osa01100 osa01110 osa01200 osa00010 osa00630 osa00620 osa00650"
"Q10N17","osa01100 osa01110 osa01230 osa00400"
"Q10N88","osa04144"
"Q10NA1","osa04141 osa04144 osa03040"
"Q10NP6","osa03040"
"Q10NX2","osa01100 osa01110 osa01200 osa00010 osa00620 osa00710 osa00020"
"Q10PD0","osa01100 osa00740"
"Q10S49","osa01100 osa00480"
"Q10SR3","osa03018"
