Accession,Uniprot,Full.Uniprot,Description,R1.X127_N.126,R2X127_N.126,R1.X127_C.126,R1.X128_N.126,R2X127_C.126,R2X128_N.126,R1.X128_C.126,R1.X129_N.126,R2X128_C.126,R2X129_N.126,R1.X129_C.126,R1.X130_N.126,R2X129_C.126,R2X130_N.126,R1.X130_C.126,R1.X131.126,R2X130_C.126,R2X131.126
350295,Q0DI31,sp|Q0DI31|CYC_ORYSJ,Cytochrome c OS=Oryza sativa subsp. japonica OX=39947 GN=CC-1 PE=1 SV=1,0.96,1.013,0.941,0.908,0.942,0.859,1.399,1.615,1.291,1.434,1.084,1.091,1.045,1.231,0.948,0.966,0.917,0.858
537402,Q94JF2,sp|Q94JF2|LEA14_ORYSJ,Late embryogenesis abundant protein 14 OS=Oryza sativa subsp. japonica OX=39947 GN=LEA14 PE=2 SV=1,1.144,0.986,1.185,1.356,1.1,1.479,11.331,19.058,10.181,10.742,2.55,1.654,2.572,7.281,0.701,1.187,0.974,0.987
5777627,Q7XSU8,tr|Q7XSU8|Q7XSU8_ORYSJ,Peroxidase OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0688300 PE=2 SV=2,1.008,1.019,1.023,1.073,1.038,1.064,1.399,1.466,1.506,1.506,1.111,1.074,1.197,1.383,1.018,1.048,1.032,1.082
6002788,Q9LWY6,tr|Q9LWY6|Q9LWY6_ORYSJ,Site-determining protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os06g0106000 PE=2 SV=1,0.913,0.928,0.981,0.901,1.066,1.032,1.473,1.432,1.036,1.091,0.972,0.963,1.065,1.074,0.929,0.861,1.009,1.115
9828445,Q6EUD7,tr|Q6EUD7|Q6EUD7_ORYSJ,Os02g0244700 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os02g0244700 PE=2 SV=1,0.952,0.983,0.984,0.998,1.041,1.119,1.212,1.228,1.209,1.154,1.019,1.081,1.089,1.159,1.048,0.937,1.011,1.012
11990470,Q9FRU0,tr|Q9FRU0|Q9FRU0_ORYSJ,Ribonuclease (Fragment) OS=Oryza sativa subsp. japonica OX=39947 PE=2 SV=1,0.952,1.015,0.728,0.636,0.785,1.295,1.468,1.501,1.438,1.296,0.694,1.058,0.767,0.811,0.604,0.577,0.666,0.811
12328519,B7E9D7,tr|B7E9D7|B7E9D7_ORYSJ,Os01g0124650 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os01g0124650 PE=2 SV=1,1.078,1.088,0.672,0.795,0.899,0.932,3.949,2.898,3.852,2.186,1.539,0.988,1.715,6.466,0.77,0.875,0.799,1.017
12597894,Q336R9,sp|Q336R9|MSRA4_ORYSJ,"Peptide methionine sulfoxide reductase A4, chloroplastic OS=Oryza sativa subsp. japonica OX=39947 GN=MSRA4 PE=2 SV=2",0.922,0.987,0.929,0.899,0.897,1.106,1.079,0.947,1.088,1.059,0.936,1.026,0.978,0.933,0.724,0.944,0.758,0.912
15217295,Q10QV0,tr|Q10QV0|Q10QV0_ORYSJ,"SacIy domain containing protein, expressed OS=Oryza sativa subsp. japonica OX=39947 GN=LOC_Os03g08430 PE=4 SV=1",0.914,0.897,1.081,1.089,1.035,1.042,1.262,1.356,1.18,0.94,1.042,1.049,0.994,0.995,1.078,1.104,1.11,1.038
21740814,Q4LB25,tr|Q4LB25|Q4LB25_ORYSJ,OSJNBa0042L16.20 protein OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0042L16.20 PE=4 SV=1,1.072,1.022,1.176,1.077,1.184,1.259,1.739,1.5,1.807,2.096,1.426,1.281,1.454,1.488,1.054,1.073,1.079,1.006
22758313,Q8H916,tr|Q8H916|Q8H916_ORYSJ,DUF1338 domain-containing protein OS=Oryza sativa subsp. japonica OX=39947 GN=OsJ_31810 PE=4 SV=1,0.917,0.976,0.938,1.027,0.988,0.985,1.826,1.841,1.79,1.428,1.144,0.947,1.181,1.272,0.995,0.868,1.058,0.98
37806289,Q6YZ75,tr|Q6YZ75|Q6YZ75_ORYSJ,"Putative methylcrotonyl-CoA carboxylase beta chain, mitochondrial OS=Oryza sativa subsp. japonica OX=39947 GN=OSJNBa0056L09.27 PE=4 SV=1",0.979,0.98,1.045,1.033,0.992,1.035,1.137,1.159,1.213,1.3,1.064,1.095,1.024,1.1,1.005,1.051,0.959,0.982
38344766,Q7XTB4,tr|Q7XTB4|Q7XTB4_ORYSJ,OSJNBa0068L06.9 protein OS=Oryza sativa subsp. japonica OX=39947 GN=Os04g0102600 PE=2 SV=2,1.093,0.941,1.057,0.923,1.144,1.156,1.3,1.162,1.297,1.369,1.215,0.916,1.211,0.95,1.07,0.954,1.057,0.818
